 ,Area,Mean,Min,Max
1,353,255,255,255
2,353,255,255,255
3,152,255,255,255
4,314,255,255,255
5,430,255,255,255
6,349,255,255,255
7,335,255,255,255
8,344,255,255,255
9,364,255,255,255
10,354,255,255,255
11,387,255,255,255
12,491,255,255,255
13,404,255,255,255
14,422,255,255,255
15,359,255,255,255
16,499,255,255,255
17,360,255,255,255
18,399,255,255,255
19,396,255,255,255
20,376,255,255,255
21,434,255,255,255
22,468,255,255,255
23,486,255,255,255
24,343,255,255,255
25,454,255,255,255
26,339,255,255,255
27,397,255,255,255
28,380,255,255,255
29,406,255,255,255
30,348,255,255,255
31,351,255,255,255
32,420,255,255,255
33,341,255,255,255
34,368,255,255,255
35,354,255,255,255
36,439,255,255,255
37,427,255,255,255
38,320,255,255,255
39,448,255,255,255
40,393,255,255,255
41,318,255,255,255
42,374,255,255,255
43,256,255,255,255
44,454,255,255,255
45,300,255,255,255
46,420,255,255,255
47,412,255,255,255
48,413,255,255,255
49,317,255,255,255
50,409,255,255,255
51,399,255,255,255
52,265,255,255,255
53,340,255,255,255
54,424,255,255,255
55,346,255,255,255
56,407,255,255,255
57,389,255,255,255
58,321,255,255,255
59,262,255,255,255
60,377,255,255,255
61,347,255,255,255
62,366,255,255,255
63,452,255,255,255
64,409,255,255,255
65,430,255,255,255
66,424,255,255,255
67,355,255,255,255
68,391,255,255,255
69,352,255,255,255
70,362,255,255,255
71,299,255,255,255
72,370,255,255,255
73,381,255,255,255
74,360,255,255,255
75,409,255,255,255
76,351,255,255,255
77,426,255,255,255
78,331,255,255,255
79,265,255,255,255
80,376,255,255,255
81,366,255,255,255
82,366,255,255,255
83,355,255,255,255
84,456,255,255,255
85,435,255,255,255
86,294,255,255,255
87,347,255,255,255
88,439,255,255,255
89,418,255,255,255
90,483,255,255,255
91,426,255,255,255
92,382,255,255,255
93,472,255,255,255
94,299,255,255,255
95,228,255,255,255
96,403,255,255,255
97,377,255,255,255
98,322,255,255,255
99,486,255,255,255
100,370,255,255,255
101,483,255,255,255
102,466,255,255,255
103,373,255,255,255
104,350,255,255,255
105,355,255,255,255
106,403,255,255,255
107,406,255,255,255
108,390,255,255,255
109,301,255,255,255
110,422,255,255,255
111,356,255,255,255
112,334,255,255,255
113,317,255,255,255
114,337,255,255,255
115,350,255,255,255
116,410,255,255,255
117,314,255,255,255
118,384,255,255,255
119,352,255,255,255
120,404,255,255,255
121,402,255,255,255
122,310,255,255,255
123,350,255,255,255
124,420,255,255,255
125,339,255,255,255
126,385,255,255,255
127,388,255,255,255
128,411,255,255,255
129,450,255,255,255
130,387,255,255,255
131,414,255,255,255
132,430,255,255,255
133,305,255,255,255
134,316,255,255,255
135,379,255,255,255
136,332,255,255,255
137,445,255,255,255
138,345,255,255,255
139,368,255,255,255
140,399,255,255,255
141,347,255,255,255
142,383,255,255,255
143,389,255,255,255
144,327,255,255,255
145,365,255,255,255
146,382,255,255,255
147,300,255,255,255
148,258,255,255,255
149,215,255,255,255
150,328,255,255,255
151,271,255,255,255
152,359,255,255,255
153,414,255,255,255
154,458,255,255,255
155,261,255,255,255
156,359,255,255,255
157,301,255,255,255
158,342,255,255,255
159,438,255,255,255
160,381,255,255,255
161,318,255,255,255
162,350,255,255,255
163,340,255,255,255
164,272,255,255,255
165,426,255,255,255
166,452,255,255,255
167,321,255,255,255
168,422,255,255,255
169,453,255,255,255
170,387,255,255,255
171,490,255,255,255
172,500,255,255,255
173,481,255,255,255
174,449,255,255,255
175,345,255,255,255
176,402,255,255,255
177,386,255,255,255
178,416,255,255,255
179,349,255,255,255
180,456,255,255,255
181,302,255,255,255
182,363,255,255,255
183,438,255,255,255
184,474,255,255,255
185,300,255,255,255
186,310,255,255,255
187,292,255,255,255
188,465,255,255,255
189,400,255,255,255
190,361,255,255,255
191,437,255,255,255
192,337,255,255,255
193,487,255,255,255
194,380,255,255,255
195,442,255,255,255
196,317,255,255,255
197,492,255,255,255
198,327,255,255,255
199,421,255,255,255
200,414,255,255,255
201,291,255,255,255
202,390,255,255,255
203,452,255,255,255
204,405,255,255,255
205,338,255,255,255
206,386,255,255,255
207,221,255,255,255
208,493,255,255,255
209,168,255,255,255
210,203,255,255,255
211,227,255,255,255
212,351,255,255,255
213,438,255,255,255
214,281,255,255,255
215,308,255,255,255
216,428,255,255,255
217,312,255,255,255
218,422,255,255,255
219,439,255,255,255
220,356,255,255,255
221,321,255,255,255
222,458,255,255,255
223,322,255,255,255
224,412,255,255,255
225,471,255,255,255
226,491,255,255,255
227,293,255,255,255
228,246,255,255,255
229,322,255,255,255
230,263,255,255,255
231,443,255,255,255
232,314,255,255,255
233,497,255,255,255
234,272,255,255,255
235,386,255,255,255
236,486,255,255,255
237,454,255,255,255
238,390,255,255,255
239,362,255,255,255
240,282,255,255,255
241,270,255,255,255
242,400,255,255,255
243,467,255,255,255
244,500,255,255,255
245,367,255,255,255
246,314,255,255,255
247,417,255,255,255
248,289,255,255,255
249,369,255,255,255
250,364,255,255,255
251,396,255,255,255
252,376,255,255,255
253,479,255,255,255
254,270,255,255,255
255,473,255,255,255
256,329,255,255,255
257,318,255,255,255
258,388,255,255,255
259,430,255,255,255
260,361,255,255,255
261,459,255,255,255
262,352,255,255,255
263,289,255,255,255
264,365,255,255,255
265,444,255,255,255
266,451,255,255,255
267,336,255,255,255
268,453,255,255,255
269,403,255,255,255
270,475,255,255,255
271,260,255,255,255
272,445,255,255,255
273,390,255,255,255
274,325,255,255,255
275,458,255,255,255
276,317,255,255,255
277,377,255,255,255
278,307,255,255,255
279,453,255,255,255
280,390,255,255,255
281,340,255,255,255
282,430,255,255,255
283,401,255,255,255
284,263,255,255,255
285,301,255,255,255
286,376,255,255,255
287,498,255,255,255
288,444,255,255,255
289,441,255,255,255
290,407,255,255,255
291,218,255,255,255
292,449,255,255,255
293,251,255,255,255
294,436,255,255,255
295,484,255,255,255
296,415,255,255,255
297,425,255,255,255
298,272,255,255,255
299,309,255,255,255
300,471,255,255,255
301,320,255,255,255
302,427,255,255,255
303,442,255,255,255
304,478,255,255,255
305,399,255,255,255
306,315,255,255,255
307,371,255,255,255
308,481,255,255,255
309,422,255,255,255
310,417,255,255,255
311,327,255,255,255
312,395,255,255,255
313,352,255,255,255
314,429,255,255,255
315,314,255,255,255
316,280,255,255,255
317,435,255,255,255
318,379,255,255,255
319,411,255,255,255
320,332,255,255,255
321,394,255,255,255
322,428,255,255,255
323,406,255,255,255
324,395,255,255,255
325,409,255,255,255
326,205,255,255,255
327,291,255,255,255
328,441,255,255,255
329,364,255,255,255
330,363,255,255,255
331,269,255,255,255
332,360,255,255,255
333,409,255,255,255
334,340,255,255,255
335,212,255,255,255
336,430,255,255,255
337,301,255,255,255
