 ,Area,Mean,Min,Max
1,596,255,255,255
2,640,255,255,255
3,384,255,255,255
4,376,255,255,255
5,359,255,255,255
6,502,255,255,255
7,182,255,255,255
8,119,255,255,255
9,501,255,255,255
10,506,255,255,255
11,1447,255,255,255
12,245,255,255,255
13,265,255,255,255
14,343,255,255,255
15,351,255,255,255
16,384,255,255,255
17,397,255,255,255
18,515,255,255,255
19,470,255,255,255
20,574,255,255,255
21,460,255,255,255
22,325,255,255,255
23,343,255,255,255
24,86,255,255,255
25,114,255,255,255
26,522,255,255,255
27,361,255,255,255
28,356,255,255,255
29,513,255,255,255
30,352,255,255,255
31,315,255,255,255
32,368,255,255,255
33,406,255,255,255
34,321,255,255,255
35,387,255,255,255
36,434,255,255,255
37,435,255,255,255
38,492,255,255,255
39,302,255,255,255
40,587,255,255,255
41,383,255,255,255
42,518,255,255,255
43,472,255,255,255
44,471,255,255,255
45,555,255,255,255
46,393,255,255,255
47,396,255,255,255
48,366,255,255,255
49,354,255,255,255
50,409,255,255,255
51,407,255,255,255
52,399,255,255,255
53,550,255,255,255
54,1594,255,255,255
55,196,255,255,255
56,165,255,255,255
57,560,255,255,255
58,467,255,255,255
59,342,255,255,255
60,351,255,255,255
61,455,255,255,255
62,440,255,255,255
63,267,255,255,255
64,467,255,255,255
65,441,255,255,255
66,515,255,255,255
67,684,255,255,255
68,551,255,255,255
69,555,255,255,255
70,413,255,255,255
71,356,255,255,255
72,365,255,255,255
73,72,255,255,255
74,623,255,255,255
75,173,255,255,255
76,568,255,255,255
77,840,255,255,255
78,381,255,255,255
79,469,255,255,255
80,577,255,255,255
81,380,255,255,255
82,719,255,255,255
83,551,255,255,255
84,479,255,255,255
85,562,255,255,255
86,448,255,255,255
87,593,255,255,255
88,679,255,255,255
89,1434,255,255,255
90,433,255,255,255
91,1678,255,255,255
92,372,255,255,255
93,638,255,255,255
94,530,255,255,255
95,869,255,255,255
96,465,255,255,255
97,486,255,255,255
98,558,255,255,255
99,357,255,255,255
100,490,255,255,255
101,426,255,255,255
102,605,255,255,255
103,307,255,255,255
104,1726,255,255,255
105,196,255,255,255
106,213,255,255,255
107,340,255,255,255
108,396,255,255,255
109,430,255,255,255
110,533,255,255,255
111,537,255,255,255
112,438,255,255,255
113,617,255,255,255
114,573,255,255,255
115,559,255,255,255
116,689,255,255,255
117,575,255,255,255
118,892,255,255,255
119,910,255,255,255
120,188,255,255,255
121,373,255,255,255
122,40,255,255,255
123,159,255,255,255
124,505,255,255,255
125,493,255,255,255
126,394,255,255,255
127,1187,255,255,255
128,456,255,255,255
129,395,255,255,255
130,442,255,255,255
131,598,255,255,255
132,540,255,255,255
133,665,255,255,255
134,709,255,255,255
135,394,255,255,255
136,1899,255,255,255
137,1847,255,255,255
138,480,255,255,255
139,612,255,255,255
140,769,255,255,255
141,689,255,255,255
142,529,255,255,255
143,525,255,255,255
144,576,255,255,255
145,349,255,255,255
146,329,255,255,255
147,489,255,255,255
148,943,255,255,255
149,554,255,255,255
150,104,255,255,255
151,1839,255,255,255
152,91,255,255,255
153,87,255,255,255
154,374,255,255,255
155,488,255,255,255
156,630,255,255,255
157,116,255,255,255
158,477,255,255,255
159,498,255,255,255
160,467,255,255,255
161,223,255,255,255
162,223,255,255,255
163,288,255,255,255
164,139,255,255,255
165,387,255,255,255
166,581,255,255,255
167,341,255,255,255
168,397,255,255,255
169,697,255,255,255
170,990,255,255,255
171,321,255,255,255
172,298,255,255,255
173,361,255,255,255
174,218,255,255,255
175,303,255,255,255
176,324,255,255,255
177,449,255,255,255
178,41,255,255,255
179,470,255,255,255
180,154,255,255,255
181,542,255,255,255
182,551,255,255,255
183,184,255,255,255
184,184,255,255,255
185,652,255,255,255
186,708,255,255,255
187,236,255,255,255
188,246,255,255,255
189,458,255,255,255
190,522,255,255,255
191,350,255,255,255
192,755,255,255,255
193,369,255,255,255
194,684,255,255,255
195,433,255,255,255
196,489,255,255,255
197,107,255,255,255
198,427,255,255,255
199,517,255,255,255
200,691,255,255,255
201,468,255,255,255
202,287,255,255,255
203,214,255,255,255
204,244,255,255,255
205,275,255,255,255
206,278,255,255,255
207,290,255,255,255
208,365,255,255,255
209,942,255,255,255
210,326,255,255,255
211,566,255,255,255
212,309,255,255,255
213,273,255,255,255
214,324,255,255,255
215,1976,255,255,255
216,124,255,255,255
217,146,255,255,255
218,105,255,255,255
219,1331,255,255,255
220,288,255,255,255
221,507,255,255,255
222,556,255,255,255
223,319,255,255,255
224,316,255,255,255
225,380,255,255,255
226,351,255,255,255
227,590,255,255,255
228,13,255,255,255
229,412,255,255,255
230,432,255,255,255
231,444,255,255,255
232,415,255,255,255
233,377,255,255,255
234,391,255,255,255
235,481,255,255,255
236,869,255,255,255
237,385,255,255,255
238,360,255,255,255
239,347,255,255,255
240,421,255,255,255
241,311,255,255,255
242,19,255,255,255
243,272,255,255,255
244,335,255,255,255
245,428,255,255,255
246,287,255,255,255
247,240,255,255,255
248,662,255,255,255
249,334,255,255,255
250,243,255,255,255
251,238,255,255,255
252,388,255,255,255
253,588,255,255,255
254,361,255,255,255
255,270,255,255,255
256,268,255,255,255
257,529,255,255,255
258,606,255,255,255
259,835,255,255,255
260,441,255,255,255
261,478,255,255,255
262,559,255,255,255
263,786,255,255,255
264,641,255,255,255
265,620,255,255,255
266,597,255,255,255
267,62,255,255,255
268,557,255,255,255
269,521,255,255,255
270,417,255,255,255
271,382,255,255,255
272,328,255,255,255
273,753,255,255,255
274,360,255,255,255
275,396,255,255,255
276,421,255,255,255
277,362,255,255,255
278,749,255,255,255
279,386,255,255,255
280,369,255,255,255
281,326,255,255,255
282,351,255,255,255
283,344,255,255,255
284,441,255,255,255
285,239,255,255,255
286,168,255,255,255
287,381,255,255,255
288,416,255,255,255
289,492,255,255,255
290,833,255,255,255
291,236,255,255,255
292,572,255,255,255
293,638,255,255,255
294,414,255,255,255
295,1142,255,255,255
296,420,255,255,255
297,417,255,255,255
298,544,255,255,255
299,420,255,255,255
300,466,255,255,255
301,991,255,255,255
302,436,255,255,255
303,516,255,255,255
304,444,255,255,255
305,426,255,255,255
306,510,255,255,255
307,453,255,255,255
308,406,255,255,255
309,478,255,255,255
310,764,255,255,255
311,93,255,255,255
312,9,255,255,255
313,574,255,255,255
314,389,255,255,255
315,328,255,255,255
316,491,255,255,255
317,363,255,255,255
318,467,255,255,255
319,462,255,255,255
